freq,sex,indic_se,isco08,sizeclas,nace_r2,unit,geo\TIME_PERIOD,2022
A,F,HOL,OC1,GE10,C,NR,CZ,25.0
A,F,HOL,OC1,GE10,C,NR,DE,28.0
A,F,HOL,OC1,GE10,C,NR,DK,25.0
A,F,HOL,OC1,GE10,C,NR,EA19,26.0
A,F,HOL,OC1,GE10,C,NR,EA20,26.0
A,F,HOL,OC1,GE10,C,NR,EE,21.0
A,F,HOL,OC1,GE10,C,NR,EL,26.0
A,F,HOL,OC1,GE10,C,NR,ES,25.0
A,F,HOL,OC1,GE10,C,NR,EU27_2020,26.0
A,F,HOL,OC1,GE10,C,NR,FI,23.0
A,F,HOL,OC1,GE10,C,NR,FR,27.0
A,F,HOL,OC1,GE10,C,NR,HR,22.0
A,F,HOL,OC1,GE10,C,NR,HU,28.0
A,F,HOL,OC1,GE10,C,NR,IE,25.0
A,F,HOL,OC1,GE10,C,NR,IS,28.0
A,F,HOL,OC1,GE10,C,NR,IT,28.0
A,F,HOL,OC1,GE10,C,NR,LT,22.0
A,F,HOL,OC1,GE10,C,NR,LU,26.0
A,F,HOL,OC1,GE10,C,NR,LV,21.0
A,F,HOL,OC1,GE10,C,NR,MT,27.0
A,F,HOL,OC1,GE10,C,NR,NL,23.0
A,F,HOL,OC1,GE10,C,NR,NO,26.0
A,F,HOL,OC1,GE10,C,NR,PL,25.0
A,F,HOL,OC1,GE10,C,NR,PT,24.0
A,F,HOL,OC1,GE10,C,NR,RO,23.0
A,F,HOL,OC1,GE10,C,NR,RS,23.0
A,F,HOL,OC1,GE10,C,NR,SE,30.0
A,F,HOL,OC1,GE10,C,NR,SI,28.0
A,F,HOL,OC1,GE10,C,NR,SK,26.0
A,F,HOL,OC1,GE10,D,NR,AL,23.0
A,F,HOL,OC1,GE10,D,NR,AT,
A,F,HOL,OC1,GE10,D,NR,BA,
A,F,HOL,OC1,GE10,D,NR,BE,
A,F,HOL,OC1,GE10,D,NR,BG,32.0
A,F,HOL,OC1,GE10,D,NR,CH,23.0
A,F,HOL,OC1,GE10,D,NR,CY,
